annee,mesure,libelle_mesure,tranche_age,libelle_age,valeur,statut
2016,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,192.0,
2017,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,189.0,
2018,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,187.0,
2019,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,186.0,
2020,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,182.0,
2021,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,182.0,
2022,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,178.0,
2023,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,165.0,
2024,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,161.0,
2025,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",_T,Toutes tranches,156.0,
1994,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.4,
1995,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
1996,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.2,
1997,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.1,
1998,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.1,
1999,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.1,
2000,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
2001,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.4,
2002,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
2003,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
2004,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
2005,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.2,
2006,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
2007,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.2,
2008,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.3,
2009,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.2,
2010,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.2,
2011,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.1,
2012,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.1,
2013,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,3.0,
2014,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.9,
2015,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.7,
2016,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.6,
2017,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.4,
2018,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.3,
2019,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.3,
2020,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.2,
2021,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.1,
2022,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,2.0,
2023,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,1.9,
2024,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,1.9,
2025,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y15T24,15-24 ans,1.7,
1994,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
1995,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,13.2,
1996,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,13.1,
1997,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.8,
1998,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
1999,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
2000,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,13.4,
2001,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,13.2,
2002,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,13.0,
2003,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
2004,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
2005,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.8,
2006,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,13.1,
2007,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.8,
2008,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
2009,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.8,
2010,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.9,
2011,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.7,
2012,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.5,
2013,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.4,
2014,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,12.3,
2015,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,11.9,
2016,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,11.5,
2017,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,11.2,
2018,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,11.0,
2019,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,10.8,
2020,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,10.4,
2021,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,10.2,
2022,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,9.9,
2023,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,9.0,
2024,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,8.6,
2025,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y25T29,25-29 ans,8.2,
1994,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,9.4,
1995,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,10.0,
1996,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,10.4,
1997,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,10.5,
1998,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,10.9,
1999,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.1,
2000,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.7,
2001,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.7,
2002,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.6,
2003,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.9,
2004,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.0,
2005,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.3,
2006,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.7,
2007,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.6,
2008,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.9,
2009,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,13.0,
2010,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,13.3,
2011,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,13.1,
2012,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,13.1,
2013,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,13.0,
2014,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,13.1,
2015,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.9,
2016,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.9,
2017,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.7,
2018,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.7,
2019,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.6,
2020,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.4,
2021,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.7,
2022,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,12.3,
2023,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.3,
2024,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,11.0,
2025,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y30T34,30-34 ans,10.8,
1994,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,3.8,
1995,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,4.0,
1996,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,4.2,
1997,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,4.3,
1998,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,4.6,
1999,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,4.8,
2000,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,5.0,
2001,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,5.1,
2002,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,5.2,
2003,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,5.3,
2004,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,5.4,
2005,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,5.6,
2006,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.0,
2007,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.1,
2008,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.2,
2009,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.3,
2010,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.4,
2011,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.4,
2012,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.6,
2013,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.7,
2014,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,7.0,
2015,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,7.0,
2016,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,7.0,
2017,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.9,
2018,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.9,
2019,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,7.0,
2020,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.9,
2021,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,7.2,
2022,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,7.1,
2023,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.7,
2024,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.6,
2025,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y35T39,35-39 ans,6.6,
1994,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.4,
1995,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.4,
1996,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.4,
1997,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.4,
1998,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.5,
1999,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.5,
2000,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.5,
2001,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.5,
2002,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.6,
2003,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.6,
2004,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.6,
2005,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.6,
2006,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.7,
2007,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.7,
2008,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.7,
2009,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.7,
2010,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.7,
2011,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.8,
2012,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.8,
2013,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.8,
2014,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.8,
2015,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.8,
2016,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.8,
2017,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2018,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2019,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2020,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2021,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2022,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,1.0,
2023,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2024,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
2025,FERRT,Taux de fécondité par âge (pour 100 femmes de la tranche),Y40T50,40-50 ans,0.9,
1957,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,851512.0,
1958,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,847234.0,
1959,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,864581.0,
1960,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,856468.0,
1961,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,875166.0,
1962,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,870496.0,
1963,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,907273.0,
1964,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,916087.0,
1965,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,904698.0,
1966,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,902039.0,
1967,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,877459.0,
1968,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,872946.0,
1969,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,877093.0,
1970,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,883726.0,
1971,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,916370.0,
1972,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,911161.0,
1973,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,888764.0,
1974,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,832066.0,
1975,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,774546.0,
1976,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,747181.0,
1977,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,770196.0,
1978,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,761004.0,
1979,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,782438.0,
1980,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,826055.0,
1981,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,831004.0,
1982,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,823260.0,
1983,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,775441.0,
1984,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,787429.0,
1985,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,796138.0,
1986,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,805543.0,
1987,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,795790.0,
1988,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,800560.0,
1989,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,796101.0,
1990,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,793071.0,
1991,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,790078.0,
1992,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,774755.0,
1993,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,741306.0,
1994,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,740774.0,
1995,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,759058.0,
1996,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,764028.0,
1997,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,757384.0,
1998,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,767906.0,
1999,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,775796.0,
2000,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,807405.0,
2001,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,803234.0,
2002,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,792745.0,
2003,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,793044.0,
2004,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,799361.0,
2005,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,806822.0,
2006,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,829352.0,
2007,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,818705.0,
2008,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,828404.0,
2009,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,824641.0,
2010,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,832799.0,
2011,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,823394.0,
2012,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,821047.0,
2013,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,811510.0,
2014,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,818565.0,
2015,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,798948.0,
2016,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,783640.0,
2017,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,769553.0,
2018,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,758590.0,
2019,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,753383.0,
2020,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,735196.0,
2021,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,742052.0,
2022,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,725997.0,
2023,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,677803.0,
2024,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,660787.0,
2025,LVB_PLACE_REG,"Naissances vivantes, lieu d'enregistrement",_T,Toutes tranches,645000.0,
1994,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,739289.0,
1995,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,757380.0,
1996,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,762442.0,
1997,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,755843.0,
1998,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,766219.0,
1999,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,774232.0,
2000,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,805797.0,
2001,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,801451.0,
2002,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,791101.0,
2003,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,791447.0,
2004,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,797874.0,
2005,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,805204.0,
2006,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,827679.0,
2007,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,817096.0,
2008,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,826772.0,
2009,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,822985.0,
2010,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,831112.0,
2011,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,821589.0,
2012,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,819191.0,
2013,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,809556.0,
2014,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,816638.0,
2015,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,796844.0,
2016,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,781632.0,
2017,LVB_PLACE_RES,"Naissances vivantes, lieu de résidence de la mère",_T,Toutes tranches,767393.0,
